"video_id","feature_names","title","description","category","duration","path","topics"
"facebook10156128570625891","Transportation, Windshield, Human, Home Decor, Automobile, Lighting, Flora, Ct Scan, Ferry, Conference Room, Product, Luxury, Ocean, Upbeat, Arched, Person, People, Car, Meeting Room, Cliff, Shareable, Vehicle, Vegetation, Furniture, Thrillist, Text-on-Screen, Panning shot, X-Ray, Submarine, Outdoors, Rowboat, Headrest, Molding, Waterfront, Building, 5 shot changes first 10 seconds, Nature, Cushion, Arch, Daniel Craig, Aisle, Exciting, 10-12 shot changes first 30 seconds, Water, Hovercraft, Chair, Dinghy, Live Action, White text, Hobbies & Interests, Yacht, Dress Shirt, Multi-Segment, Entertaining, Sea, Boat, Car Seat, Rhythmic, Shirt, Bush, Instrumental, Indoors, Cave, Sailing, The Jet Capsule from Italian firm Lazzarini Design offers all the luxury of a yacht in a small and (more) affordable vessel., Architecture, Word, Plant, Harbor, Rock, Highlight, 3 average shot changes per 10 seconds, Watercraft, Vessel, Port, White text on red backdrop","Worlds Smallest Luxury Yacht","This floating spaceship is the worlds smallest luxury yacht.","NEWS",90.601,"/thrillisttravel/videos/10156128570625891/",
"facebook865104736978642","Poster, Transportation, Roof Rack, Human, Windshield, Jeep, Leisure Activities, Automobile, Home Decor, Kid, 3 shot changes first 10 seconds, Train, Text, Person, Suv, People, Van, Car, Tae Kimura, Vehicle, Furniture, Baby, 61-90 seconds, Electronics, Headrest, Back, Camping, Swimwear, Tent, Planting, Couch, Bbq, Bullet Train, Child, Entertainment Center, Cushion, Brick, Clothing, Cornelio Reyna, People Laughing, Ampersand, Logo, Reading, Forge, Flyer, Brochure, Alphabet, Soil, Trademark, Paper, Word, Ground, 3 average shot changes per 10 seconds","SkyCamp is the perfect rooftop tent for travelers","Now you can have an expandable treehouse on top of your vehicle. (via In The Know)","OTHER",66.494,"/thrillistentertainment/videos/865104736978642/",
"facebook1383181498410075","Human, Poster, Transportation, Home Decor, Automobile, Kid, Face, Smile, Driving, Stephen Curry, Person, Kissing, People, Car, Vehicle, Furniture, Baby, 61-90 seconds, Kiss, Headrest, 5 average shot changes per 10 seconds, Dogge Doggelito, David Mazouz, 5 shot changes first 10 seconds, Cushion, Child, Glasses, Chair, Portrait, James Corden, Head, 13-15 shot changes first 30 seconds, Word, Luke Hancock","Steph Currys Carpool Karaoke Is A Slam Dunk","Steph Curry jammed out to Disney tunes on Carpool Karaoke (via NowThis Entertainment)","NEWS",68.563,"/thrillistentertainment/videos/1383181498410075/",
"facebook10156225737005891","Weather, Transportation, Poster, Human, Automobile, 10 - 12 The Most Words On Screen At Any One Time - First 10 Seconds, 1 - 3 The Least Words On Screen At Any One Time - First 10 Seconds, Handrail, 16-18 shot changes first 30 seconds, 10 - 15 Percent Of Screen Width - First 10 Seconds, Crash Helmet, Person, Text, Smoke, Dessert, People, Snowboarding, Collage, Airplane, Car, Robot, Vehicle, Furniture, TEXT_MIDDLE_RIGHT, Storm, Team, Motorcycle, Road, Chocolate, TEXT_BOTTOM_LEFT, Outdoors, Box, 3-4 minutes, 6 Average Words On Screen, Sphere, Table, Cinema, Bobsled, Blizzard, TEXT_TOP_LEFT, Swimwear, Food, Dirt Road, Mascot, Hole, Nature, Banister, Glasses, Clothing, Billboard, Winter, 11 - 15 Words on Screen - First 10 Seconds, Figurine, Ramp, Machine, Greeting Card, Toy, Dinghy, Chair, TEXT_MIDDLE_LEFT, Shelf, Team Sport, Staircase, Sled, Animal, 1 - 2 Words Per Second - First 10 Seconds, 5 - 10 Percent of Screen Height - First 10 Seconds, Webpage, Wood, Sport, Plywood, File, Ampersand, Sports, Logo, Flyer, Brochure, Boat, Alphabet, Envelope, Hardhat, Leon Robinson, TEXT_BOTTOM_CENTER, Aircraft, Paper, Trademark, Baaba Maal, American Football, Word, Helmet, Inflatable, Football Helmet, 3 average shot changes per 10 seconds, 2 Seconds On Screen, Watercraft, Vessel, Snow, Gravel, Mail, Football, Blackboard","Bobsled vs. Lunge vs. Skeleton","Now you can show off how you know the difference between luge, bobsled, and skeleton. >> thrl.st/2CDjh1s","NEWS",201.555,"/thrillisttravel/videos/10156225737005891/",
"facebook10155656948483387","Human, Weather, Poster, Transportation, Cap, Automobile, Tree, Educational Content, Boiling water, Lighting, Silhouette, Flora, Dance, Interesting, Man wearing gloves, Interesting, Red Sky, Smoke, Text, Person, Hat, White text on black backdrop, People, Collage, Car, Stainless steel pot, Spotlight, Text-on-Screen, When thrown in very cold conditions boiling water can turn to snow, Panning shot, teapot, Sunlight, Sunrise, Outdoors, Cumulus, Patio, Tunnel, Nature, Seeker, Snow, Clothing, Spectacle, House, Sun, Explainer/Tutorial, Beanie, White text, Live Action, 1 average shot changes per 10 seconds, Dawn, Multi-Segment, Entertaining, 91-120 seconds, Sky, Dusk, Flyer, Brochure, Logo, Blue text, Instrumental, Trademark, Paper, Cloud, cooking pot, 1 shot changes first 10 seconds, Word, Plant, Sunset, LED, 1-3 shot changes first 30 seconds, Sun, Arts & Entertainment, Slow Motion","Boiling Water Can Instantly Turn To Snow","Watch this before trying to create instant snow with boiling water.","NEWS",92.883,"/SeekerMedia/videos/10155656948483387/",
"facebook10155426733747917","Transportation, Human, Jeep, Beard, Automobile, Asphalt, Fireworks, Flora, Fence, Face, Graham Coxon, 16-18 shot changes first 30 seconds, License Plate, Pedestrian, Jersey, Daniel Kitson, Text, Person, Police, Train, Pamela Tajonar, 4 shot changes first 10 seconds, Vehicle, Ambulance, Military Uniform, Truck, People, Van, Suv, Night, Scott Kinsey, Campus, Car, Chemistry, Tow Truck, Shipping Container, Military, Alfonso Cano, Tarmac, Shorts, T-Shirt, Officer, Hospital, Science, Compilation/Clips, 2-3 minutes, 5 average shot changes per 10 seconds, Field, Flame, Cup, Pottery, Fireman, Fire, Machine, Greeting Card, Lawn, Simulation/Demo, Pickup Truck, Engine, Sign, Jar, Rocky Long, Logo, Shirt, Generator, Envelope, Word, Vase, License, Clinic, Bench, Plant, Action & Adventure, Potted Plant, Hedge, Mail, Lathe, Trademark","STREET SCIENCE: Eternal Flame","Watch thermite incinerate steel. (via Science Channel)","ENTERTAINMENT",137.854,"/SeekerMedia/videos/10155426733747917/",
"facebook10155953598515891","Transportation, Human, Poster, Home Decor, Automobile, Petal, Glass, Flora, Fireworks, Carnation, Text, Urban, Person, Vehicle, Mixer, Furniture, Drink, People, Night, Car, Blossom, Alcohol, Coat, Outdoors, Rowboat, Diamond, Gemstone, Table, Headrest, Jewelry, Flower, Building, Tablecloth, Cushion, Amphibious Vehicle, Clothing, Pottery, Glasses, Dining Table, Greeting Card, Chair, Dinghy, Blender, Yacht, Goblet, Animal, Overcoat, Jar, 2 average shot changes per 10 seconds, 91-120 seconds, Tuxedo, Logo, Flyer, Boat, Brochure, Envelope, 1 shot changes first 10 seconds, Vase, Plant, Beverage, Watercraft, Linen, Ornament, Vessel, Mail, Potted Plant, Trademark, Paper, Suit","The Worlds Most Expensive Dinner","Win the ultimate romantic dinner date for $2.","NEWS",91.646,"/thrillisttravel/videos/10155953598515891/",
"facebook10155821885443387","15 - 20 Percent Of Screen Width - First 10 Seconds, Windshield, Transportation, Poster, Home Decor, Automobile, 10 - 12 The Most Words On Screen At Any One Time - First 10 Seconds, 1 - 3 The Least Words On Screen At Any One Time - First 10 Seconds, Asphalt, Flora, 0 - 5 Percent of Screen Height - First 10 Seconds, Intersection, Driving, Freeway, Text, Sidewalk, Vehicle, Monitor, Furniture, Suv, Car, Airplane, Limo, Road, TEXT_BOTTOM_LEFT, 61-90 seconds, Tarmac, Electronics, GPS, 2 - 3 Words Per Second - First 10 Seconds, 6 Average Words On Screen, Walkway, TEXT_TOP_LEFT, Parking Lot, Palm Tree, Pool, Headrest, Convertible, Dirt Road, TEXT_BOTTOM_RIGHT, Cushion, Pavement, Pottery, Billboard, Chair, Ramp, Water, Sedan, Machine, Parking, Greeting Card, Path, 0 average shot changes per 10 seconds, TV, Highway, Jar, Television, Flyer, Logo, Brochure, Arecaceae, Tree, Envelope, TEXT_BOTTOM_CENTER, 1 shot changes first 10 seconds, Word, Vase, Plant, 1 Second On Screen, 1-3 shot changes first 30 seconds, Potted Plant, Mail, Stencil, Gravel, 26 - 30 Words On Screen - First 10 Seconds, Paper, Trademark, Screen","Take A Ride In Waymos Self-Driving Car","This 360 experience shows how Waymos autonomous vehicle technology works.","NEWS",63.721,"/SeekerMedia/videos/10155821885443387/",
"facebook10155539835883387","Transportation, Human, Automobile, Teacher, Person, Vehicle, Ambulance, Taxi, Van, People, Car, Apparel, Hospital, Female, Bus, Girl, Clothing, 2 shot changes first 10 seconds, Cab, 0 average shot changes per 10 seconds, Shirt, Police Car, Clinic, 1-3 shot changes first 30 seconds, 4-5 minutes, Gisele MacKenzie, Blackboard","The Flies On A Dead Body Can Help Solve A Murder","How fly eggs help investigators determine when someone died.","NEWS",252.243,"/SeekerMedia/videos/10155539835883387/",
"facebook10155807298233387","4-6 shot changes first 30 seconds, Weather, Transportation, Poster, Human, Automobile, News, Silhouette, Ferry, Asphalt, 3 shot changes first 10 seconds, Crowd, Informative, Winter storm, Planetarium, Text, Urban, Person, White text on black backdrop, Stove, Vehicle, Furniture, Fog, Text-on-Screen, Panning shot, People, Suv, Car, Road, TEXT_BOTTOM_LEFT, Town, Tarmac, Outdoors, City, 2 - 3 Words Per Second - First 10 Seconds, 6 Average Words On Screen, Table, Sphere, Parking Lot, Back, TEXT_TOP_LEFT, Pollution, Building, Animated, TEXT_BOTTOM_RIGHT, 4 - 6 The Least Words On Screen At Any One Time - First 10 Seconds, Hole, Nature, Bus, Seeker, Weather warning, Eerie, Brick, Parking, Neighborhood, Sedan, Chair, White text, News & Headlines, Live Action, United Kingdom, TEXT_MIDDLE_LEFT, 31-60 seconds, Factory, Engine, Weather report, 20 - 25 Percent Of Screen Width - First 10 Seconds, 5 - 10 Percent of Screen Height - First 10 Seconds, 20 - 25 Percent Of Screen Width - First 10 Seconds, Multi-Segment, Suspenseful, Ampersand, Massive winter storm has hit Europe, and the UK specifically has had extremely dangerous winter conditions, 2 average shot changes per 10 seconds, Refinery, Logo, Flyer, Boat, Brochure, Alphabet, Dome, Double Decker Bus, Kiosk, Blue text, Instrumental, TEXT_MIDDLE_CENTER, TEXT_BOTTOM_CENTER, Word, 1 Second On Screen, Watercraft, Vessel, Mailbox, Snow, 26 - 30 Words On Screen - First 10 Seconds, Trademark, Postbox, Paper, Overhead shot, Weather, Architecture","The “Beast From The East” Blasts Europe","The U.K. is on red alert for the first time because of a disruption in the polar vortex.","NEWS",50.579,"/SeekerMedia/videos/10155807298233387/",
"facebook10155909425825891","Transportation, Poster, Half Track, Human, Frying Pan, Automobile, Wok, Kid, Diary, Flora, Fence, Glass, Bread, Spice, Ocean, Intersection, Carnation, Jorge Jesus, Toast, Text, Urban, Person, Sidewalk, Dessert, Vehicle, Drink, Baby, Truck, People, Car, Blossom, Campus, Alcohol, Vegetable, Road, Cattle, Chocolate, 19-21 shot changes first 30 seconds, Outdoors, Vine, Sunlight, Birthday Cake, Cake, Walkway, Tractor, Table, Field, Waterfront, Mountain, Sprout, Flower, Food, Building, 5 shot changes first 10 seconds, Nature, Child, Alps, Grain, Seed, Pavement, Culinary, Market, Glasses, Water, Mammal, Butter, Goblet, Convention Center, Path, Animal, Pepper, Garlic, Sea, Logo, Flyer, Custard, Brochure, Soil, Bulldozer, Plant, Rock, Produce, Dairy Cow, Harbor, Coast, Beverage, 7 average shot changes per 10 seconds, Port, Hedge, Wheat, French Toast, Trademark, Paper, Indoors, Cow, Architecture","Eataly World","Eatalys new 20-acre theme park is basically Disneyland for food.","NEWS",90.643,"/thrillistfoodanddrink/videos/10155909425825891/",
"facebook1274507125972742","4-6 shot changes first 30 seconds, Transportation, Poster, Human, Automobile, Person, Text, Sidewalk, Vehicle, Truck, Suv, People, Car, Tow Truck, Military, Road, Outdoors, Walkway, Hospital, Parking Lot, Bus, Pavement, Parking, 31-60 seconds, Path, Office, Ampersand, 2 average shot changes per 10 seconds, Logo, Flyer, Brochure, Alphabet, Car Dealership, 1 shot changes first 10 seconds, Word, Police Car, Clinic, Snow, Trademark, Paper","This Car Pile Up Is On The Next Level","A snowy hill caused a massive car pile-up.","NEWS",43.561,"/thrillistentertainment/videos/1274507125972742/",
"facebook10155307390432917","Windshield, 4-6 shot changes first 30 seconds, Transportation, Human, Backyard, Automobile, Train Station, Kid, Fence, Flora, Ct Scan, Handrail, Driving, Train, Person, Car Mirror, Vegetation, Vehicle, Kris Peeters, Baby, People, Car, Campus, Minibus, Terminal, X-Ray, Coat, Park, Mirror, Art, Oak, Back, 2-3 minutes, Convertible, Forest, Yew, Child, Nature, Bus, Banister, Pottery, Clothing, Glasses, Sedan, Path, Engine, Conifer, Jack Del Rio, Jar, Overcoat, 2 average shot changes per 10 seconds, Logo, Aziz Yıldırım, Alexander Nevzorov, Subway, Tree, Head, 1 shot changes first 10 seconds, Word, Vase, Plant, Hedge, Potted Plant, Sculpture, Gabriel Caballero, Trademark, Suit","Where Would a Second Gunman Hide?","If a second gunman was involved in the JFK assassination, where were they? (via Science Channel)","ENTERTAINMENT",148.969,"/SeekerMedia/videos/10155307390432917/",
"facebook1427335037328054","Transportation, Poster, Jeep, Human, Automobile, Lighting, Prison, Fence, Kid, Flora, Asphalt, Jersey, Intersection, Crowd, Person, Text, Road Sign, Vehicle, Baby, Suv, People, Collage, Car, 4 average shot changes per 10 seconds, Road, T-Shirt, Tarmac, News Story, Web Series, 5 shot changes first 10 seconds, Yew, Finger, M. Ward, Child, Jack Parow, Billboard, Clothing, 10-12 shot changes first 30 seconds, Sedan, 31-60 seconds, Conifer, Webpage, Sign, Street Sign, File, Flyer, Brochure, Stopsign, Audience, Speech, Tree, Shirt, Head, Word, Plant, Hedge, Paper, Comedy/Skit","This YouTuber Was Arrested For Removing Stop Signs","The YouTuber who removed stop signs as a prank could get up to 5 years in prison. (via NowThis Entertainment)","NEWS",41.555,"/thrillisttravel/videos/1427335037328054/",
"facebook10155439210983387","Transportation, Human, Poster, Automobile, Text, Person, Sports Car, Vehicle, Tile, Tire, Fractal, Furniture, People, Car, Art, Bling, Jewelry, Hole, Glasses, Brick, 31-60 seconds, 0 average shot changes per 10 seconds, Flyer, Logo, Business Card, Brochure, Head, Crib, Bucket, Word, Mosaic, Inflatable, 1-3 shot changes first 30 seconds, Ornament, 0 shot changes first 10 seconds, Trademark, Paper","3D Printed Tires Could Be The Solution To Flat Tires","You may never get a flat tire again.","NEWS",53.033,"/SeekerMedia/videos/10155439210983387/",
"facebook10156104555165891","Leisure Activities, Human, Transportation, Poster, Glacier, Automobile, 3 shot changes first 10 seconds, Jersey, White Board, Person, Vehicle, People, Snowboarding, Car, Vest, 61-90 seconds, T-Shirt, Outdoors, Camping, Tin, Mountain, Tent, Ice, Nature, Alps, Footwear, Clothing, Dinghy, Can, Sport, Plywood, Aluminium, Airmail, Flyer, Boat, Backpack, Sports, Bag, Brochure, Spruce, Shirt, Carton, Envelope, Word, 3 average shot changes per 10 seconds, Snow, Mail, Paper","12 Beer Jacket","The next time you go skiing, you wont have to worry about not carrying enough beer. >> thrl.st/2mSmy89","NEWS",83.582,"/Thrillist/videos/10156104555165891/",
"facebook10156131777680891","Windshield, Pitcher, Poster, Human, Automobile, Ct Scan, Person, Jug, Dessert, Hardware, Car Mirror, Alloy Wheel, Drink, Bookcase, Furniture, People, Light, Console, Car, Alcohol, X-Ray, Headlight, Mirror, Phone, Chocolate, Liquor, Electronics, Table, Wheel, Female, Food, Entertainment Center, Karina Smulders, Market, Girl, Glasses, Clothing, Footwear, Machine, Chair, Vending Machine, Shelf, Engine, 1 average shot changes per 10 seconds, Woman, Shop, Kiosk, Blonde, Computer Hardware, Beverage, 1-3 shot changes first 30 seconds, Supermarket, Mailbox, 0 shot changes first 10 seconds, Screen","Weed Vending Machine","Say hello to this weed vending machine.","NEWS",90.878,"/thrillisttravel/videos/10156131777680891/",
"facebook10155872899895891","Transportation, Human, Poster, Leisure Activities, Automobile, Innovation, File Folder, Lighting, Train Station, Ct Scan, Promotional, Branded Content, Outer Space, Sports, Hardware, Person, Pro Ice Hockey, 4 shot changes first 10 seconds, Robot, Snowboarding, People, Car, 4 average shot changes per 10 seconds, Team, Space, Terminal, X-Ray, Bling, Astronomy, Electronics, Tub, Bobsled, Jewelry, Pollution, Sports, File Binder, Billboard, 10-12 shot changes first 30 seconds, Ramp, Toy, Machine, Universe, Greeting Card, Hobbies & Interests, Team Sport, Sled, Stage, Sport, 91-120 seconds, Sports, Logo, Flyer, Brochure, Informational, Jacuzzi, Envelope, Hockey, Word, Computer Hardware, Bust, Armor, Snow, Mail, Trademark, Paper","Ice Cross","This new sport is like ice hockey + roller coasters.","NEWS",100.115,"/Thrillist/videos/10155872899895891/",
